datetime,PTT,Lat,Long
2018-08-06 02:53:00,174962,74.05727827,-105.2786848
2018-08-06 03:08:00,174962,74.05915366,-105.2922074
2018-08-06 03:23:00,174962,74.06419878,-105.2940089
2018-08-06 03:38:00,174962,74.07104447,-105.2884714
2018-08-06 03:53:00,174962,74.07672899,-105.2896707
2018-08-06 04:08:00,174962,74.06903514,-105.3458414
2018-08-06 04:23:00,174962,74.06550072,-105.3531668
2018-08-06 04:38:00,174962,74.06196604,-105.360489
2018-08-06 04:53:00,174962,74.05843111,-105.3678082
2018-08-06 05:08:00,174962,74.05489931,-105.3659754
2018-08-06 05:23:00,174962,74.05136849,-105.3611661
2018-08-06 05:38:00,174962,74.04967378,-105.3558104
2018-08-06 05:53:00,174962,74.04667383,-105.357563
2018-08-06 06:08:00,174962,74.04078495,-105.3673497
2018-08-06 06:23:00,174962,74.04015388,-105.3818868
2018-08-06 06:38:00,174962,74.04032745,-105.4175092
2018-08-06 06:53:00,174962,74.04218261,-105.4603461
2018-08-06 07:08:00,174962,74.0485074,-105.4669628
2018-08-06 07:23:00,174962,74.03627611,-105.5435377
2018-08-06 07:38:00,174962,74.03107838,-105.5784601
2018-08-06 07:53:00,174962,74.02746134,-105.5945644
2018-08-06 08:08:00,174962,74.02397429,-105.5959007
2018-08-06 08:23:00,174962,74.02333066,-105.5887494
2018-08-06 08:38:00,174962,74.02889487,-105.576338
2018-08-06 08:53:00,174962,74.02425584,-105.5966202
2018-08-06 09:08:00,174962,74.01320854,-105.6373773
2018-08-06 09:23:00,174962,74.01101047,-105.6467577
2018-08-06 09:38:00,174962,74.01244841,-105.6432668
2018-08-06 09:53:00,174962,74.01388629,-105.6397752
2018-08-06 10:08:00,174962,74.01532411,-105.6362831
2018-08-06 10:23:00,174962,74.01676187,-105.6327903
2018-08-06 10:38:00,174962,74.01819958,-105.629297
2018-08-06 10:53:00,174962,74.01963722,-105.625803
2018-08-06 11:08:00,174962,74.02193339,-105.6216093
2018-08-06 11:23:00,174962,74.0278896,-105.6144315
2018-08-06 11:38:00,174962,74.03384554,-105.6072486
2018-08-06 11:53:00,174962,74.03862639,-105.6063866
2018-08-06 12:08:00,174962,74.03367495,-105.657874
2018-08-06 12:23:00,174962,74.03016828,-105.7019358
2018-08-06 12:38:00,174962,74.02876695,-105.7119887
2018-08-06 12:53:00,174962,74.02773106,-105.7198423
2018-08-06 13:08:00,174962,74.02890165,-105.7144409
2018-08-06 13:23:00,174962,74.03007211,-105.7090387
2018-08-06 13:38:00,174962,74.03124243,-105.7036358
2018-08-06 13:53:00,174962,74.03241262,-105.6982321
2018-08-06 14:08:00,174962,74.03358268,-105.6928277
2018-08-06 14:23:00,174962,74.0347526,-105.6874225
2018-08-06 14:38:00,174962,74.03592239,-105.6820165
2018-08-06 14:53:00,174962,74.03768597,-105.6780814
2018-08-06 15:08:00,174962,74.04700421,-105.6925009
2018-08-06 15:23:00,174962,74.05827977,-105.7075059
2018-08-06 15:38:00,174962,74.06938156,-105.7225526
2018-08-06 15:53:00,174962,74.07971945,-105.7403466
2018-08-06 16:08:00,174962,74.08507875,-105.753657
2018-08-06 16:23:00,174962,74.0896543,-105.7546178
2018-08-06 16:38:00,174962,74.09342964,-105.7511032
2018-08-06 16:53:00,174962,74.09600773,-105.7458413
2018-08-06 17:08:00,174962,74.09858568,-105.7405777
2018-08-06 17:23:00,174962,74.1011635,-105.7353124
2018-08-06 17:38:00,174962,74.10374118,-105.7300456
2018-08-06 17:53:00,174962,74.10631873,-105.7247771
2018-08-06 18:08:00,174962,74.10889615,-105.7195069
2018-08-06 18:23:00,174962,74.11147344,-105.7142352
2018-08-06 18:38:00,174962,74.11400541,-105.713259
2018-08-06 18:53:00,174962,74.11645991,-105.7196354
2018-08-06 19:08:00,174962,74.11891421,-105.7260138
2018-08-06 19:23:00,174962,74.12136833,-105.732394
2018-08-06 19:38:00,174962,74.12382225,-105.7387761
2018-08-06 19:53:00,174962,74.12627599,-105.7451601
2018-08-06 20:08:00,174962,74.12872953,-105.751546
2018-08-06 20:23:00,174962,74.13118288,-105.7579338
2018-08-06 20:38:00,174962,74.13363605,-105.7643234
2018-08-06 20:53:00,174962,74.13608901,-105.770715
2018-08-06 21:08:00,174962,74.13699529,-105.7823946
2018-08-06 21:23:00,174962,74.13662388,-105.7984382
2018-08-06 21:38:00,174962,74.13625132,-105.8144811
2018-08-06 21:53:00,174962,74.13587759,-105.8305233
2018-08-06 22:08:00,174962,74.13550271,-105.8465647
2018-08-06 22:23:00,174962,74.13512666,-105.8626054
2018-08-06 22:38:00,174962,74.13474946,-105.8786453
2018-08-06 22:53:00,174962,74.13437109,-105.8946846
2018-08-06 23:08:00,174962,74.13399156,-105.9107231
2018-08-06 23:23:00,174962,74.136081,-105.9031393
2018-08-06 23:38:00,174962,74.13870129,-105.8839476
2018-08-06 23:53:00,174962,74.14166297,-105.8592248
2018-08-07 00:08:00,174962,74.1331812,-105.8551205
2018-08-07 00:23:00,174962,74.13252883,-105.8425141
2018-08-07 00:38:00,174962,74.13140087,-105.8312749
2018-08-07 00:53:00,174962,74.12624595,-105.8334202
